NI;N;user_id;install_time;platform;country_region;city;gender;min_age_range;max_age_range;event_1;event_2;event_3;event_4;event_5;target_churn_indicator
98;1;db427ad3;07/07/2018 23:57;Android;Chaco;Resistencia;female;18;20;12;12;0;3;2;0
99;1;b5ed6112;04/07/2018 0:26;Android;Cordoba;Córdoba;male;18;20;14;13;0;6;4;0
100;1;1f8c90ba;02/07/2018 1:57;Android;Formosa;Formosa;female;13;17;23;55;1;4;10;1
101;1;5d011265;03/07/2018 0:34;Android;Buenos Aires;Zárate;male;18;20;2;2;0;1;2;1
102;1;9ea4257b;01/07/2018 5:07;Android;La Pampa;Santa Rosa;male;18;20;2;1;0;2;3;1
103;1;a446fd95;30/06/2018 20:12;Android;Buenos Aires;Burzaco;male;18;20;6;6;0;4;6;1
104;1;4e99e4c7;06/07/2018 5:17;Android;Buenos Aires;Ituzaingo;male;13;17;7;7;0;1;2;0
105;1;63e89c2c;03/07/2018 12:32;Android;Buenos Aires;Coronel Pringles;female;18;20;1;4;0;1;2;1
106;1;8600b815;02/07/2018 0:57;Android;Jujuy;San Salvador de Jujuy;female;18;20;11;11;0;24;1;0
107;1;ea0a2172;30/06/2018 0:30;Android;NA;NA;female;13;17;14;27;0;2;7;1
108;1;7cc20f5;06/07/2018 17:32;Android;Buenos Aires;Pilar;male;18;20;25;23;1;4;3;0
109;1;6cdc8212;07/07/2018 21:01;Android;Cordoba;Córdoba;male;13;17;10;43;1;1;5;0
110;1;180e6738;05/07/2018 16:57;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;13;13;1;6;7;0
111;1;18f393;01/07/2018 3:49;Android;Buenos Aires;Berazategui;male;13;17;8;52;1;10;4;0
112;1;edb9a669;03/07/2018 1:01;Android;Tucuman;San Miguel de Tucumán;male;18;20;0;0;0;1;0;0
113;1;83e9c4d4;30/06/2018 23:10;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;0;0;0;1;0;1
114;1;f0221041;05/07/2018 15:54;Android;Santiago del Estero;La Banda;male;18;20;4;4;0;1;4;1
115;1;62caffd6;01/07/2018 15:31;Android;Buenos Aires;Lomas de Zamora;female;13;17;4;1;0;1;3;1
116;1;618d2f4f;04/07/2018 20:48;Android;Entre Rios;Villa Angelica;female;18;20;47;43;1;11;13;0
117;1;c680a31a;04/07/2018 18:43;Android;Buenos Aires;Jose Leon Suarez;male;13;17;1;1;0;1;2;1
118;1;92f5252b;01/07/2018 23:13;Android;Buenos Aires;Berazategui;male;13;17;3;7;0;1;3;1
119;1;75e477c5;01/07/2018 19:17;Android;Entre Rios;Villa Angelica;male;13;17;5;5;0;2;7;0
120;1;5f6b4655;01/07/2018 23:16;Android;Buenos Aires;San Isidro;male;18;20;8;9;0;3;7;0
121;1;8f1196a3;03/07/2018 15:38;Android;Buenos Aires;Hurlingham;female;13;17;1;1;0;4;1;1
122;1;ef9f37ee;07/07/2018 12:37;Android;Buenos Aires;Berisso;female;18;20;7;8;0;3;8;0
123;1;a0e0966a;07/07/2018 16:11;Android;Buenos Aires F.D.;NA;male;13;17;5;25;0;2;4;0
124;1;2cb9ec9b;03/07/2018 13:43;Android;Cordoba;Córdoba;male;18;20;0;0;0;1;0;0
125;1;53ce0a9c;30/06/2018 14:22;Android;Cordoba;Córdoba;female;18;20;1;1;0;1;1;1
126;1;298b8dd7;03/07/2018 22:07;Android;Salta;Salta;female;18;20;2;2;0;2;3;0
127;1;c706964b;05/07/2018 9:49;Android;Entre Rios;Paraná;female;13;17;5;19;0;1;5;1
128;1;6c0274d5;07/07/2018 1:44;Android;Buenos Aires;Villa Ballester;female;18;20;8;8;0;1;6;1
129;1;6a008749;05/07/2018 5:52;Android;Salta;Salta;male;18;20;35;34;1;5;3;0
130;1;9f3e3ef;06/07/2018 19:13;Android;Entre Rios;Villa Angelica;female;18;20;0;0;0;3;0;0
131;1;99aa3295;07/07/2018 18:10;Android;Buenos Aires F.D.;Buenos Aires;male;18;20;10;10;0;2;6;0
132;1;283b2e4;30/06/2018 1:33;Android;Santa Fe;Santo Tome;male;18;20;7;6;0;3;1;1
133;1;c9c08acb;30/06/2018 0:38;Android;Buenos Aires;Hurlingham;male;18;20;1;1;0;1;2;1
134;1;ad6cc767;01/07/2018 2:46;Android;Buenos Aires;Esteban Echeverria;female;13;17;0;3;0;1;1;1
135;1;8f02aa5e;04/07/2018 23:03;Android;Mendoza;Godoy Cruz;female;18;20;3;9;0;1;3;0
136;1;d9abf48b;02/07/2018 20:56;Android;Santa Fe;Arequito;female;18;20;19;14;2;4;5;1
137;1;3bf32562;01/07/2018 3:58;Android;Tierra del Fuego;Ushuaia;female;18;20;62;71;2;10;17;0
138;1;7c1c47b7;05/07/2018 22:07;iOS;Cordoba;Córdoba;male;18;20;6;6;0;5;6;1
139;1;10e0e50a;02/07/2018 23:37;Android;Buenos Aires;Mar del Tuyu;female;18;20;10;13;0;5;2;0
140;1;5624ca4f;02/07/2018 2:39;Android;NA;NA;male;13;17;1;2;0;1;1;1
141;1;f363108f;02/07/2018 23:02;Android;San Juan;San Juan;female;13;17;20;41;1;3;7;0
142;1;eb87b5a2;01/07/2018 15:06;Android;Buenos Aires;Nicanor Olivera;female;13;17;6;9;0;3;6;1
143;1;879763ca;04/07/2018 4:37;Android;Buenos Aires;Lanus;male;18;20;10;7;1;3;2;0
144;1;12cbbfac;07/07/2018 21:56;Android;Buenos Aires;Cerrito;female;18;20;9;6;0;5;1;0
145;1;3,16E+303;07/07/2018 1:14;Android;Buenos Aires;Rafael Castillo;female;18;20;4;4;0;2;5;1
146;1;856cac5c;01/07/2018 3:41;Android;Buenos Aires F.D.;Buenos Aires;female;18;20;1;1;0;2;1;1
147;1;5147c70e;06/07/2018 4:33;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;1;0;0;4;3;1
148;1;daacd948;02/07/2018 17:18;Android;Cordoba;Córdoba;male;18;20;3;3;0;2;0;1
149;1;4dc70d4a;02/07/2018 19:15;iOS;Buenos Aires F.D.;Buenos Aires;male;18;20;10;26;0;6;11;1
150;1;fc840c0c;01/07/2018 23:46;Android;Buenos Aires;Baradero;female;18;20;4;5;0;2;3;1
151;1;f3330785;04/07/2018 22:11;Android;Buenos Aires;Ciudadela;male;13;17;0;0;0;3;0;1
152;1;1c0d016c;01/07/2018 14:41;Android;Santa Fe;Rosario;male;13;17;3;3;0;2;1;0
153;1;1aacf7fb;05/07/2018 19:52;Android;Buenos Aires;Lomas de Zamora;female;13;17;2;4;0;2;1;1
154;1;eb0398a3;03/07/2018 18:37;Android;Cordoba;Córdoba;male;13;17;0;0;0;3;0;0
155;1;1d222e8;07/07/2018 23:06;Android;Santa Cruz;Perito Moreno;male;18;20;46;37;4;14;7;1
156;1;e6449f27;01/07/2018 21:19;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;2;1;0;2;3;1
157;1;5673df66;30/06/2018 15:16;Android;Buenos Aires;Laferrere;male;18;20;9;28;0;4;8;1
158;1;9b39d148;06/07/2018 1:48;Android;Santa Fe;Roldan;female;13;17;5;5;1;5;1;0
159;1;dd08cc51;01/07/2018 20:02;Android;Buenos Aires;Gonzalez Catan;female;18;20;0;0;0;1;0;1
160;1;564287ae;02/07/2018 21:40;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;0;0;0;1;0;1
161;1;3f43c2d9;03/07/2018 19:56;Android;Neuquen;Neuquén;male;13;17;4;10;0;3;3;1
162;1;bec02963;01/07/2018 21:21;Android;Buenos Aires F.D.;Buenos Aires;female;18;20;14;19;0;5;5;0
163;1;9ebbb671;05/07/2018 23:08;Android;Buenos Aires;San Miguel;male;18;20;6;6;0;3;2;0
164;1;78e6f45e;01/07/2018 22:10;Android;Buenos Aires;Wilde;female;13;17;52;49;4;12;2;0
165;1;db3ccb64;02/07/2018 13:30;Android;Buenos Aires;Libertad;male;18;20;27;28;1;7;8;0
166;1;215377ea;01/07/2018 1:56;Android;Tucuman;San Miguel de Tucumán;female;18;20;8;8;0;4;0;0
167;1;b774098c;06/07/2018 14:20;Android;Buenos Aires;Tigre;male;18;20;6;6;0;1;6;0
168;1;460798a3;01/07/2018 16:36;Android;Tucuman;Concepcion;male;18;20;13;18;0;6;9;0
169;1;4a359547;07/07/2018 15:09;Android;Entre Rios;Villa Angelica;male;13;17;25;18;3;17;7;0
170;1;ed962c5d;05/07/2018 22:24;Android;La Pampa;Anguil;male;18;20;6;5;6;5;0;0
171;1;f2c04547;04/07/2018 19:53;Android;Entre Rios;Federal;male;18;20;40;43;0;6;19;0
172;1;1b4435fe;06/07/2018 20:48;Android;La Rioja;Chamical;female;18;20;41;38;3;12;3;0
173;1;444d4e8e;05/07/2018 1:41;Android;Buenos Aires;Moron;male;18;20;5;32;0;3;2;0
174;1;26572216;02/07/2018 17:07;Android;Buenos Aires;Villa Gesell;female;18;20;1;1;0;1;1;1
175;1;1a040de3;05/07/2018 2:16;Android;Cordoba;Córdoba;male;13;17;12;12;0;1;13;1
176;1;b04e8c5a;30/06/2018 18:17;Android;Salta;Salta;female;18;20;1;1;0;1;1;1
177;1;f1f68c40;01/07/2018 2:16;Android;Buenos Aires;Villa Ballester;female;18;20;2;2;0;3;2;1
178;1;ca2efa3a;30/06/2018 20:33;Android;Buenos Aires;NA;male;18;20;0;0;0;1;1;1
179;1;cf124451;01/07/2018 13:32;Android;Buenos Aires;Glew;female;18;20;0;0;0;1;1;1
180;1;d750007c;03/07/2018 6:31;Android;Buenos Aires F.D.;Buenos Aires;female;18;20;12;16;1;7;5;0
181;1;cc4b5d95;30/06/2018 22:33;Android;Salta;Salta;female;13;17;0;0;0;2;0;1
182;1;525fce31;01/07/2018 21:02;Android;Chubut;Boca de la Zanja;female;18;20;0;1;0;2;0;0
183;1;d55909ce;03/07/2018 22:40;Android;Cordoba;Córdoba;male;18;20;13;19;0;5;5;0
184;1;e59f6c47;06/07/2018 18:46;Android;Buenos Aires;Lomas del Mirador;female;13;17;0;0;0;1;1;1
185;1;c6ed2c5a;03/07/2018 6:08;Android;Buenos Aires;Berazategui;female;18;20;26;30;0;8;6;0
186;1;b77df245;01/07/2018 0:45;Android;Buenos Aires;Colon;female;18;20;50;149;5;11;4;0
187;1;4488e3e3;05/07/2018 6:22;Android;Jujuy;San Salvador de Jujuy;female;18;20;2;19;0;2;3;1
188;1;89f59d8d;07/07/2018 0:54;Android;Buenos Aires;Glew;female;13;17;26;25;1;6;11;1
189;1;7d6fd91c;03/07/2018 19:37;Android;Cordoba;Córdoba;male;18;20;11;16;0;3;2;1
190;1;aa85f8d0;03/07/2018 18:14;Android;Buenos Aires;NA;male;18;20;10;9;0;3;1;1
191;1;ec6b2d9b;06/07/2018 1:10;Android;Entre Rios;General Ramirez;female;18;20;9;9;0;3;2;1
192;1;1d445499;07/07/2018 18:44;Android;Buenos Aires F.D.;Buenos Aires;female;18;20;6;7;0;1;2;0
193;1;8722ccd;03/07/2018 1:10;Android;Santiago del Estero;Termas de Rio Hondo;male;18;20;0;0;1;1;0;0
194;1;46f30679;07/07/2018 5:47;Android;Buenos Aires F.D.;Buenos Aires;male;18;20;6;11;0;1;3;1
195;1;252de26f;01/07/2018 18:29;Android;Tucuman;Monteros;male;13;17;15;14;0;4;8;1
196;1;8efa3ac;05/07/2018 22:52;iOS;Buenos Aires F.D.;NA;female;18;20;17;26;1;4;4;1
197;1;10e6dde5;03/07/2018 22:40;Android;Buenos Aires F.D.;Buenos Aires;male;18;20;22;18;0;8;5;0
198;1;f9ef01e4;04/07/2018 23:35;Android;Santa Fe;San Justo;male;13;17;9;13;0;1;3;1
199;1;f7ae1ff;02/07/2018 20:10;Android;Cordoba;Córdoba;female;18;20;47;49;0;14;16;0
200;1;37930e5d;01/07/2018 15:15;Android;Santa Fe;Villa Constitucion;male;13;17;0;0;0;5;0;1
201;1;5fa16708;04/07/2018 23:48;Android;Tucuman;San Miguel de Tucumán;male;18;20;3;3;0;1;3;1
202;1;325dd7d3;07/07/2018 5:10;Android;Entre Rios;Villa Maria Grande;female;13;17;10;55;1;7;3;0
203;1;aef86ac5;03/07/2018 18:35;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;1;1;0;1;1;1
204;1;a435604a;06/07/2018 18:26;Android;Cordoba;Córdoba;female;18;20;0;0;0;3;0;1
205;1;b0884da8;01/07/2018 16:29;Android;Cordoba;Canada de Machado;female;18;20;4;6;0;4;1;1
206;1;969e5b27;05/07/2018 1:05;Android;Cordoba;Córdoba;male;18;20;89;79;5;19;15;0
207;1;8b48afa6;07/07/2018 5:01;Android;Cordoba;Córdoba;male;18;20;64;68;1;13;26;1
208;1;91b39f6b;02/07/2018 2:43;Android;Buenos Aires;Saenz Pena;male;13;17;4;3;0;2;4;0
209;1;69dc7f2;05/07/2018 3:04;Android;Buenos Aires;Tigre;female;18;20;22;29;0;5;6;1
210;1;63a0e189;07/07/2018 19:37;Android;San Juan;San Juan;female;18;20;13;11;0;8;4;1
211;1;91681a65;30/06/2018 17:06;Android;Cordoba;Córdoba;male;13;17;3;3;0;1;3;1
212;1;c341e316;02/07/2018 23:10;Android;Buenos Aires F.D.;Buenos Aires;female;18;20;13;14;0;1;4;0
213;1;18839b56;01/07/2018 23:39;Android;Cordoba;Córdoba;female;18;20;3;4;0;3;3;1
214;1;dac35fd;03/07/2018 14:28;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;89;281;2;17;31;0
215;1;8f1e590b;07/07/2018 14:10;Android;Chaco;Resistencia;female;18;20;37;39;0;6;9;0
216;1;287e7cf2;02/07/2018 22:47;Android;Santa Fe;San Martin de las Escobas;female;18;20;4;10;0;5;2;1
217;1;3cac861;03/07/2018 22:08;Android;Buenos Aires;Los Polvorines;female;18;20;14;17;0;6;10;0
218;1;e884041f;02/07/2018 12:49;Android;Buenos Aires;Bahía Blanca;female;18;20;4;7;0;1;3;0
219;1;53ef399f;02/07/2018 0:59;Android;Buenos Aires;Florencio Varela;female;18;20;4;4;0;2;2;1
220;1;3dec4ca5;30/06/2018 2:32;Android;La Pampa;Colonia Baron;female;13;17;124;125;4;23;22;1
221;1;ce814b53;02/07/2018 19:19;Android;Salta;Salta;female;13;17;3;1;0;1;3;1
222;1;4144daf4;04/07/2018 15:31;Android;Cordoba;Córdoba;male;18;20;2;4;0;2;2;1
223;1;4a66773a;01/07/2018 23:48;Android;Buenos Aires;Colon;female;13;17;3;3;0;1;3;1
224;1;d7b2fb5b;07/07/2018 15:50;Android;La Pampa;Guatrache;male;13;17;6;6;0;3;1;0
225;1;f485db92;05/07/2018 10:46;Android;Tucuman;San Miguel de Tucumán;female;18;20;6;23;0;5;7;1
226;1;9235adf1;30/06/2018 3:39;iOS;Entre Ríos Province;Federal;unknown;18;20;8;8;0;2;3;1
227;1;48988613;02/07/2018 2:01;Android;Buenos Aires F.D.;NA;female;13;17;4;3;0;2;3;1
228;1;78f76c5;03/07/2018 23:25;Android;Cordoba;Oliva;male;18;20;26;59;0;7;10;1
229;1;f09b001b;07/07/2018 0:55;Android;Mendoza;Mendoza;male;13;17;3;4;0;2;1;1
230;1;52c642c5;04/07/2018 3:26;Android;Buenos Aires;Bahía Blanca;female;18;20;0;0;0;1;0;1
231;1;40576895;07/07/2018 18:09;Android;Cordoba;Córdoba;male;18;20;7;4;0;2;8;1
232;1;6ba34de4;02/07/2018 0:23;Android;Cordoba;Córdoba;male;13;17;3;5;0;1;4;1
233;1;1b3a4a51;01/07/2018 23:01;Android;Buenos Aires;Zárate;female;18;20;38;40;3;7;9;0
234;1;7eda8bfc;03/07/2018 2:40;Android;Buenos Aires F.D.;NA;female;18;20;1;1;0;1;1;0
235;1;ee67ab7b;07/07/2018 1:34;Android;Buenos Aires;Esteban Echeverria;female;18;20;8;8;0;3;7;0
236;1;2ca699f9;06/07/2018 17:23;Android;Buenos Aires;Hurlingham;female;13;17;14;20;0;4;8;0
237;1;890e0904;03/07/2018 18:12;Android;Buenos Aires;Esteban Echeverria;female;18;20;3;3;0;1;0;1
238;1;72114f6d;06/07/2018 13:48;Android;Buenos Aires;Mariano Moreno;female;13;17;4;3;0;2;3;0
239;1;15b02226;07/07/2018 6:18;Android;Buenos Aires;Mariano Moreno;female;18;20;11;9;0;7;6;1
240;1;eb5dfc71;01/07/2018 7:38;Android;Chaco;Castelli;male;18;20;5;8;0;1;2;0
241;1;8d268051;04/07/2018 23:47;Android;San Luis;San Luis;female;18;20;2;4;0;12;3;1
242;1;c944ac10;04/07/2018 18:06;Android;Buenos Aires F.D.;Buenos Aires;male;18;20;41;147;2;8;11;0
243;1;36ec4c59;07/07/2018 17:58;Android;Buenos Aires F.D.;NA;female;18;20;4;12;0;2;4;0
